County,State,AQI,state_county,Date,County Code
baldwin,alabama,26,alabama_baldwin,2018-05-26,1003
colbert,alabama,34,alabama_colbert,2018-05-26,1033
dekalb,alabama,41,alabama_dekalb,2018-05-26,1049
elmore,alabama,32,alabama_elmore,2018-05-26,1051
etowah,alabama,41,alabama_etowah,2018-05-26,1055
houston,alabama,24,alabama_houston,2018-05-26,1069
jefferson,alabama,46,alabama_jefferson,2018-05-26,1073
madison,alabama,41,alabama_madison,2018-05-26,1089
mobile,alabama,31,alabama_mobile,2018-05-26,1097
montgomery,alabama,45,alabama_montgomery,2018-05-26,1101
morgan,alabama,38,alabama_morgan,2018-05-26,1103
russell,alabama,30,alabama_russell,2018-05-26,1113
shelby,alabama,31,alabama_shelby,2018-05-26,1117
tuscaloosa,alabama,30,alabama_tuscaloosa,2018-05-26,1125
apache,arizona,13,arizona_apache,2018-05-26,4001
cochise,arizona,44,arizona_cochise,2018-05-26,4003
coconino,arizona,80,arizona_coconino,2018-05-26,4005
gila,arizona,67,arizona_gila,2018-05-26,4007
maricopa,arizona,71,arizona_maricopa,2018-05-26,4013
mohave,arizona,17,arizona_mohave,2018-05-26,4015
navajo,arizona,61,arizona_navajo,2018-05-26,4017
pima,arizona,58,arizona_pima,2018-05-26,4019
pinal,arizona,72,arizona_pinal,2018-05-26,4021
yavapai,arizona,48,arizona_yavapai,2018-05-26,4025
yuma,arizona,91,arizona_yuma,2018-05-26,4027
arkansas,arkansas,32,arkansas_arkansas,2018-05-26,5001
craighead,arkansas,40,arkansas_craighead,2018-05-26,5031
crittenden,arkansas,47,arkansas_crittenden,2018-05-26,5035
garland,arkansas,38,arkansas_garland,2018-05-26,5051
polk,arkansas,50,arkansas_polk,2018-05-26,5113
pulaski,arkansas,49,arkansas_pulaski,2018-05-26,5119
union,arkansas,34,arkansas_union,2018-05-26,5139
washington,arkansas,58,arkansas_washington,2018-05-26,5143
alameda,california,46,california_alameda,2018-05-26,6001
amador,california,37,california_amador,2018-05-26,6005
butte,california,35,california_butte,2018-05-26,6007
calaveras,california,45,california_calaveras,2018-05-26,6009
contra_costa,california,35,california_contra_costa,2018-05-26,6013
el_dorado,california,36,california_el_dorado,2018-05-26,6017
fresno,california,45,california_fresno,2018-05-26,6019
glenn,california,17,california_glenn,2018-05-26,6021
humboldt,california,31,california_humboldt,2018-05-26,6023
imperial,california,97,california_imperial,2018-05-26,6025
kern,california,45,california_kern,2018-05-26,6029
kings,california,44,california_kings,2018-05-26,6031
lake,california,22,california_lake,2018-05-26,6033
los_angeles,california,55,california_los_angeles,2018-05-26,6037
madera,california,42,california_madera,2018-05-26,6039
marin,california,30,california_marin,2018-05-26,6041
mendocino,california,24,california_mendocino,2018-05-26,6045
merced,california,35,california_merced,2018-05-26,6047
monterey,california,31,california_monterey,2018-05-26,6053
napa,california,30,california_napa,2018-05-26,6055
nevada,california,30,california_nevada,2018-05-26,6057
orange,california,38,california_orange,2018-05-26,6059
placer,california,39,california_placer,2018-05-26,6061
riverside,california,69,california_riverside,2018-05-26,6065
sacramento,california,35,california_sacramento,2018-05-26,6067
san_benito,california,31,california_san_benito,2018-05-26,6069
san_bernardino,california,51,california_san_bernardino,2018-05-26,6071
san_diego,california,41,california_san_diego,2018-05-26,6073
san_francisco,california,28,california_san_francisco,2018-05-26,6075
san_joaquin,california,36,california_san_joaquin,2018-05-26,6077
san_luis_obispo,california,70,california_san_luis_obispo,2018-05-26,6079
san_mateo,california,30,california_san_mateo,2018-05-26,6081
santa_barbara,california,36,california_santa_barbara,2018-05-26,6083
santa_clara,california,30,california_santa_clara,2018-05-26,6085
santa_cruz,california,31,california_santa_cruz,2018-05-26,6087
shasta,california,35,california_shasta,2018-05-26,6089
siskiyou,california,36,california_siskiyou,2018-05-26,6093
solano,california,28,california_solano,2018-05-26,6095
sonoma,california,29,california_sonoma,2018-05-26,6097
stanislaus,california,35,california_stanislaus,2018-05-26,6099
sutter,california,40,california_sutter,2018-05-26,6101
tehama,california,41,california_tehama,2018-05-26,6103
tulare,california,44,california_tulare,2018-05-26,6107
tuolumne,california,38,california_tuolumne,2018-05-26,6109
ventura,california,37,california_ventura,2018-05-26,6111
yolo,california,35,california_yolo,2018-05-26,6113
adams,colorado,87,colorado_adams,2018-05-26,8001
arapahoe,colorado,67,colorado_arapahoe,2018-05-26,8005
boulder,colorado,71,colorado_boulder,2018-05-26,8013
delta,colorado,37,colorado_delta,2018-05-26,8029
denver,colorado,90,colorado_denver,2018-05-26,8031
douglas,colorado,80,colorado_douglas,2018-05-26,8035
el_paso,colorado,77,colorado_el_paso,2018-05-26,8041
fremont,colorado,17,colorado_fremont,2018-05-26,8043
jefferson,colorado,108,colorado_jefferson,2018-05-26,8059
larimer,colorado,97,colorado_larimer,2018-05-26,8069
mesa,colorado,58,colorado_mesa,2018-05-26,8077
montezuma,colorado,64,colorado_montezuma,2018-05-26,8083
montrose,colorado,71,colorado_montrose,2018-05-26,8085
pueblo,colorado,20,colorado_pueblo,2018-05-26,8101
weld,colorado,122,colorado_weld,2018-05-26,8123
fairfield,connecticut,147,connecticut_fairfield,2018-05-26,9001
hartford,connecticut,74,connecticut_hartford,2018-05-26,9003
litchfield,connecticut,93,connecticut_litchfield,2018-05-26,9005
middlesex,connecticut,100,connecticut_middlesex,2018-05-26,9007
new_haven,connecticut,140,connecticut_new_haven,2018-05-26,9009
new_london,connecticut,112,connecticut_new_london,2018-05-26,9011
tolland,connecticut,84,connecticut_tolland,2018-05-26,9013
windham,connecticut,101,connecticut_windham,2018-05-26,9015
kent,delaware,41,delaware_kent,2018-05-26,10001
new_castle,delaware,64,delaware_new_castle,2018-05-26,10003
sussex,delaware,38,delaware_sussex,2018-05-26,10005
district_of_columbia,district of columbia,53,district of columbia_district_of_columbia,2018-05-26,11001
alachua,florida,25,florida_alachua,2018-05-26,12001
bay,florida,31,florida_bay,2018-05-26,12005
brevard,florida,33,florida_brevard,2018-05-26,12009
broward,florida,29,florida_broward,2018-05-26,12011
citrus,florida,30,florida_citrus,2018-05-26,12017
collier,florida,29,florida_collier,2018-05-26,12021
columbia,florida,24,florida_columbia,2018-05-26,12023
duval,florida,34,florida_duval,2018-05-26,12031
escambia,florida,33,florida_escambia,2018-05-26,12033
highlands,florida,28,florida_highlands,2018-05-26,12055
hillsborough,florida,27,florida_hillsborough,2018-05-26,12057
indian_river,florida,34,florida_indian_river,2018-05-26,12061
lake,florida,28,florida_lake,2018-05-26,12069
lee,florida,34,florida_lee,2018-05-26,12071
leon,florida,23,florida_leon,2018-05-26,12073
manatee,florida,27,florida_manatee,2018-05-26,12081
marion,florida,26,florida_marion,2018-05-26,12083
martin,florida,30,florida_martin,2018-05-26,12085
miami-dade,florida,30,florida_miami-dade,2018-05-26,12086
nassau,florida,30,florida_nassau,2018-05-26,12089
okaloosa,florida,30,florida_okaloosa,2018-05-26,12091
orange,florida,27,florida_orange,2018-05-26,12095
osceola,florida,28,florida_osceola,2018-05-26,12097
palm_beach,florida,31,florida_palm_beach,2018-05-26,12099
pasco,florida,25,florida_pasco,2018-05-26,12101
pinellas,florida,26,florida_pinellas,2018-05-26,12103
polk,florida,26,florida_polk,2018-05-26,12105
putnam,florida,1,florida_putnam,2018-05-26,12107
santa_rosa,florida,31,florida_santa_rosa,2018-05-26,12113
sarasota,florida,30,florida_sarasota,2018-05-26,12115
seminole,florida,28,florida_seminole,2018-05-26,12117
st._lucie,florida,32,florida_st._lucie,2018-05-26,12111
volusia,florida,28,florida_volusia,2018-05-26,12127
bibb,georgia,28,georgia_bibb,2018-05-26,13021
chatham,georgia,28,georgia_chatham,2018-05-26,13051
chattooga,georgia,30,georgia_chattooga,2018-05-26,13055
clarke,georgia,30,georgia_clarke,2018-05-26,13059
clayton,georgia,23,georgia_clayton,2018-05-26,13063
cobb,georgia,35,georgia_cobb,2018-05-26,13067
coffee,georgia,16,georgia_coffee,2018-05-26,13069
columbia,georgia,25,georgia_columbia,2018-05-26,13073
dekalb,georgia,34,georgia_dekalb,2018-05-26,13089
dougherty,georgia,18,georgia_dougherty,2018-05-26,13095
douglas,georgia,28,georgia_douglas,2018-05-26,13097
floyd,georgia,36,georgia_floyd,2018-05-26,13115
fulton,georgia,40,georgia_fulton,2018-05-26,13121
glynn,georgia,25,georgia_glynn,2018-05-26,13127
gwinnett,georgia,34,georgia_gwinnett,2018-05-26,13135
hall,georgia,26,georgia_hall,2018-05-26,13139
henry,georgia,31,georgia_henry,2018-05-26,13151
houston,georgia,38,georgia_houston,2018-05-26,13153
lowndes,georgia,25,georgia_lowndes,2018-05-26,13185
murray,georgia,32,georgia_murray,2018-05-26,13213
muscogee,georgia,35,georgia_muscogee,2018-05-26,13215
richmond,georgia,32,georgia_richmond,2018-05-26,13245
rockdale,georgia,29,georgia_rockdale,2018-05-26,13247
walker,georgia,24,georgia_walker,2018-05-26,13295
hawaii,hawaii,200,hawaii_hawaii,2018-05-26,15001
honolulu,hawaii,35,hawaii_honolulu,2018-05-26,15003
kauai,hawaii,10,hawaii_kauai,2018-05-26,15007
maui,hawaii,15,hawaii_maui,2018-05-26,15009
ada,idaho,50,idaho_ada,2018-05-26,16001
bannock,idaho,36,idaho_bannock,2018-05-26,16005
bonneville,idaho,25,idaho_bonneville,2018-05-26,16019
canyon,idaho,22,idaho_canyon,2018-05-26,16027
nez_perce,idaho,10,idaho_nez_perce,2018-05-26,16069
twin_falls,idaho,29,idaho_twin_falls,2018-05-26,16083
adams,illinois,61,illinois_adams,2018-05-26,17001
champaign,illinois,108,illinois_champaign,2018-05-26,17019
cook,illinois,133,illinois_cook,2018-05-26,17031
dupage,illinois,100,illinois_dupage,2018-05-26,17043
kane,illinois,97,illinois_kane,2018-05-26,17089
lake,illinois,108,illinois_lake,2018-05-26,17097
macon,illinois,97,illinois_macon,2018-05-26,17115
macoupin,illinois,54,illinois_macoupin,2018-05-26,17117
madison,illinois,97,illinois_madison,2018-05-26,17119
mchenry,illinois,101,illinois_mchenry,2018-05-26,17111
mclean,illinois,93,illinois_mclean,2018-05-26,17113
peoria,illinois,93,illinois_peoria,2018-05-26,17143
randolph,illinois,44,illinois_randolph,2018-05-26,17157
rock_island,illinois,100,illinois_rock_island,2018-05-26,17161
sangamon,illinois,80,illinois_sangamon,2018-05-26,17167
will,illinois,100,illinois_will,2018-05-26,17197
winnebago,illinois,97,illinois_winnebago,2018-05-26,17201
allen,indiana,50,indiana_allen,2018-05-26,18003
bartholomew,indiana,58,indiana_bartholomew,2018-05-26,18005
boone,indiana,61,indiana_boone,2018-05-26,18011
clark,indiana,53,indiana_clark,2018-05-26,18019
delaware,indiana,50,indiana_delaware,2018-05-26,18035
dubois,indiana,45,indiana_dubois,2018-05-26,18037
elkhart,indiana,87,indiana_elkhart,2018-05-26,18039
floyd,indiana,44,indiana_floyd,2018-05-26,18043
gibson,indiana,14,indiana_gibson,2018-05-26,18051
greene,indiana,61,indiana_greene,2018-05-26,18055
hamilton,indiana,51,indiana_hamilton,2018-05-26,18057
hendricks,indiana,45,indiana_hendricks,2018-05-26,18063
henry,indiana,37,indiana_henry,2018-05-26,18065
howard,indiana,58,indiana_howard,2018-05-26,18067
huntington,indiana,46,indiana_huntington,2018-05-26,18069
jackson,indiana,49,indiana_jackson,2018-05-26,18071
knox,indiana,71,indiana_knox,2018-05-26,18083
lake,indiana,101,indiana_lake,2018-05-26,18089
madison,indiana,58,indiana_madison,2018-05-26,18095
marion,indiana,60,indiana_marion,2018-05-26,18097
monroe,indiana,48,indiana_monroe,2018-05-26,18105
morgan,indiana,46,indiana_morgan,2018-05-26,18109
perry,indiana,45,indiana_perry,2018-05-26,18123
porter,indiana,122,indiana_porter,2018-05-26,18127
shelby,indiana,54,indiana_shelby,2018-05-26,18145
st._joseph,indiana,108,indiana_st._joseph,2018-05-26,18141
tippecanoe,indiana,37,indiana_tippecanoe,2018-05-26,18157
vanderburgh,indiana,49,indiana_vanderburgh,2018-05-26,18163
vigo,indiana,67,indiana_vigo,2018-05-26,18167
wabash,indiana,71,indiana_wabash,2018-05-26,18169
warrick,indiana,48,indiana_warrick,2018-05-26,18173
black_hawk,iowa,27,iowa_black_hawk,2018-05-26,19013
cerro_gordo,iowa,24,iowa_cerro_gordo,2018-05-26,19033
clinton,iowa,100,iowa_clinton,2018-05-26,19045
johnson,iowa,34,iowa_johnson,2018-05-26,19103
lee,iowa,31,iowa_lee,2018-05-26,19111
linn,iowa,87,iowa_linn,2018-05-26,19113
polk,iowa,84,iowa_polk,2018-05-26,19153
pottawattamie,iowa,44,iowa_pottawattamie,2018-05-26,19155
scott,iowa,100,iowa_scott,2018-05-26,19163
woodbury,iowa,38,iowa_woodbury,2018-05-26,19193
ford,kansas,24,kansas_ford,2018-05-26,20057
johnson,kansas,49,kansas_johnson,2018-05-26,20091
leavenworth,kansas,64,kansas_leavenworth,2018-05-26,20103
sedgwick,kansas,80,kansas_sedgwick,2018-05-26,20173
shawnee,kansas,61,kansas_shawnee,2018-05-26,20177
wyandotte,kansas,64,kansas_wyandotte,2018-05-26,20209
bell,kentucky,32,kentucky_bell,2018-05-26,21013
boone,kentucky,44,kentucky_boone,2018-05-26,21015
boyd,kentucky,49,kentucky_boyd,2018-05-26,21019
bullitt,kentucky,41,kentucky_bullitt,2018-05-26,21029
campbell,kentucky,41,kentucky_campbell,2018-05-26,21037
carter,kentucky,41,kentucky_carter,2018-05-26,21043
christian,kentucky,40,kentucky_christian,2018-05-26,21047
daviess,kentucky,45,kentucky_daviess,2018-05-26,21059
fayette,kentucky,49,kentucky_fayette,2018-05-26,21067
greenup,kentucky,33,kentucky_greenup,2018-05-26,21089
hardin,kentucky,48,kentucky_hardin,2018-05-26,21093
henderson,kentucky,49,kentucky_henderson,2018-05-26,21101
jefferson,kentucky,53,kentucky_jefferson,2018-05-26,21111
jessamine,kentucky,44,kentucky_jessamine,2018-05-26,21113
mccracken,kentucky,48,kentucky_mccracken,2018-05-26,21145
oldham,kentucky,47,kentucky_oldham,2018-05-26,21185
perry,kentucky,51,kentucky_perry,2018-05-26,21193
pike,kentucky,31,kentucky_pike,2018-05-26,21195
pulaski,kentucky,43,kentucky_pulaski,2018-05-26,21199
warren,kentucky,49,kentucky_warren,2018-05-26,21227
androscoggin,maine,38,maine_androscoggin,2018-05-26,23001
aroostook,maine,41,maine_aroostook,2018-05-26,23003
cumberland,maine,50,maine_cumberland,2018-05-26,23005
hancock,maine,71,maine_hancock,2018-05-26,23009
kennebec,maine,74,maine_kennebec,2018-05-26,23011
knox,maine,49,maine_knox,2018-05-26,23013
oxford,maine,87,maine_oxford,2018-05-26,23017
penobscot,maine,58,maine_penobscot,2018-05-26,23019
washington,maine,45,maine_washington,2018-05-26,23029
york,maine,61,maine_york,2018-05-26,23031
allegany,maryland,109,maryland_allegany,2018-05-26,24001
anne_arundel,maryland,54,maryland_anne_arundel,2018-05-26,24003
baltimore,maryland,49,maryland_baltimore,2018-05-26,24005
calvert,maryland,32,maryland_calvert,2018-05-26,24009
carroll,maryland,49,maryland_carroll,2018-05-26,24013
cecil,maryland,67,maryland_cecil,2018-05-26,24015
charles,maryland,33,maryland_charles,2018-05-26,24017
frederick,maryland,48,maryland_frederick,2018-05-26,24021
harford,maryland,64,maryland_harford,2018-05-26,24025
howard,maryland,41,maryland_howard,2018-05-26,24027
montgomery,maryland,43,maryland_montgomery,2018-05-26,24031
prince_george's,maryland,49,maryland_prince_george's,2018-05-26,24033
washington,maryland,47,maryland_washington,2018-05-26,24043
barnstable,massachusetts,101,massachusetts_barnstable,2018-05-26,25001
berkshire,massachusetts,59,massachusetts_berkshire,2018-05-26,25003
bristol,massachusetts,115,massachusetts_bristol,2018-05-26,25005
essex,massachusetts,101,massachusetts_essex,2018-05-26,25009
franklin,massachusetts,90,massachusetts_franklin,2018-05-26,25011
hampden,massachusetts,93,massachusetts_hampden,2018-05-26,25013
hampshire,massachusetts,84,massachusetts_hampshire,2018-05-26,25015
middlesex,massachusetts,90,massachusetts_middlesex,2018-05-26,25017
norfolk,massachusetts,84,massachusetts_norfolk,2018-05-26,25021
plymouth,massachusetts,100,massachusetts_plymouth,2018-05-26,25023
suffolk,massachusetts,90,massachusetts_suffolk,2018-05-26,25025
worcester,massachusetts,87,massachusetts_worcester,2018-05-26,25027
allegan,michigan,77,michigan_allegan,2018-05-26,26005
bay,michigan,50,michigan_bay,2018-05-26,26017
berrien,michigan,100,michigan_berrien,2018-05-26,26021
cass,michigan,100,michigan_cass,2018-05-26,26027
chippewa,michigan,53,michigan_chippewa,2018-05-26,26033
clinton,michigan,67,michigan_clinton,2018-05-26,26037
genesee,michigan,80,michigan_genesee,2018-05-26,26049
ingham,michigan,77,michigan_ingham,2018-05-26,26065
kalamazoo,michigan,93,michigan_kalamazoo,2018-05-26,26077
kent,michigan,80,michigan_kent,2018-05-26,26081
lenawee,michigan,56,michigan_lenawee,2018-05-26,26091
macomb,michigan,71,michigan_macomb,2018-05-26,26099
monroe,michigan,30,michigan_monroe,2018-05-26,26115
muskegon,michigan,74,michigan_muskegon,2018-05-26,26121
oakland,michigan,67,michigan_oakland,2018-05-26,26125
ottawa,michigan,77,michigan_ottawa,2018-05-26,26139
st._clair,michigan,64,michigan_st._clair,2018-05-26,26147
tuscola,michigan,97,michigan_tuscola,2018-05-26,26157
washtenaw,michigan,67,michigan_washtenaw,2018-05-26,26161
wayne,michigan,67,michigan_wayne,2018-05-26,26163
anoka,minnesota,93,minnesota_anoka,2018-05-26,27003
becker,minnesota,97,minnesota_becker,2018-05-26,27005
beltrami,minnesota,28,minnesota_beltrami,2018-05-26,27007
crow_wing,minnesota,50,minnesota_crow_wing,2018-05-26,27035
dakota,minnesota,32,minnesota_dakota,2018-05-26,27037
goodhue,minnesota,84,minnesota_goodhue,2018-05-26,27049
hennepin,minnesota,49,minnesota_hennepin,2018-05-26,27053
olmsted,minnesota,64,minnesota_olmsted,2018-05-26,27109
ramsey,minnesota,54,minnesota_ramsey,2018-05-26,27123
scott,minnesota,101,minnesota_scott,2018-05-26,27139
stearns,minnesota,101,minnesota_stearns,2018-05-26,27145
washington,minnesota,53,minnesota_washington,2018-05-26,27163
wright,minnesota,101,minnesota_wright,2018-05-26,27171
desoto,mississippi,38,mississippi_desoto,2018-05-26,28033
forrest,mississippi,25,mississippi_forrest,2018-05-26,28035
hancock,mississippi,36,mississippi_hancock,2018-05-26,28045
harrison,mississippi,36,mississippi_harrison,2018-05-26,28047
hinds,mississippi,38,mississippi_hinds,2018-05-26,28049
jackson,mississippi,35,mississippi_jackson,2018-05-26,28059
lauderdale,mississippi,31,mississippi_lauderdale,2018-05-26,28075
lee,mississippi,37,mississippi_lee,2018-05-26,28081
boone,missouri,50,missouri_boone,2018-05-26,29019
buchanan,missouri,33,missouri_buchanan,2018-05-26,29021
cass,missouri,58,missouri_cass,2018-05-26,29037
clay,missouri,87,missouri_clay,2018-05-26,29047
franklin,missouri,10,missouri_franklin,2018-05-26,29071
greene,missouri,90,missouri_greene,2018-05-26,29077
jackson,missouri,40,missouri_jackson,2018-05-26,29095
jasper,missouri,74,missouri_jasper,2018-05-26,29097
jefferson,missouri,45,missouri_jefferson,2018-05-26,29099
lincoln,missouri,51,missouri_lincoln,2018-05-26,29113
st._louis_city,missouri,87,missouri_st._louis_city,2018-05-26,29510
stoddard,missouri,29,missouri_stoddard,2018-05-26,29207
taney,missouri,18,missouri_taney,2018-05-26,29213
cascade,montana,26,montana_cascade,2018-05-26,30013
flathead,montana,33,montana_flathead,2018-05-26,30029
lewis_and_clark,montana,67,montana_lewis_and_clark,2018-05-26,30049
missoula,montana,42,montana_missoula,2018-05-26,30063
ravalli,montana,11,montana_ravalli,2018-05-26,30081
silver_bow,montana,15,montana_silver_bow,2018-05-26,30093
yellowstone,montana,35,montana_yellowstone,2018-05-26,30111
douglas,nebraska,93,nebraska_douglas,2018-05-26,31055
hall,nebraska,29,nebraska_hall,2018-05-26,31079
lancaster,nebraska,67,nebraska_lancaster,2018-05-26,31109
sarpy,nebraska,21,nebraska_sarpy,2018-05-26,31153
scotts_bluff,nebraska,24,nebraska_scotts_bluff,2018-05-26,31157
carson_city,nevada,31,nevada_carson_city,2018-05-26,32510
churchill,nevada,31,nevada_churchill,2018-05-26,32001
clark,nevada,58,nevada_clark,2018-05-26,32003
douglas,nevada,2,nevada_douglas,2018-05-26,32005
lyon,nevada,27,nevada_lyon,2018-05-26,32019
nye,nevada,15,nevada_nye,2018-05-26,32023
washoe,nevada,32,nevada_washoe,2018-05-26,32031
belknap,new hampshire,51,new hampshire_belknap,2018-05-26,33001
cheshire,new hampshire,71,new hampshire_cheshire,2018-05-26,33005
coos,new hampshire,90,new hampshire_coos,2018-05-26,33007
grafton,new hampshire,47,new hampshire_grafton,2018-05-26,33009
hillsborough,new hampshire,93,new hampshire_hillsborough,2018-05-26,33011
merrimack,new hampshire,58,new hampshire_merrimack,2018-05-26,33013
rockingham,new hampshire,105,new hampshire_rockingham,2018-05-26,33015
atlantic,new jersey,39,new jersey_atlantic,2018-05-26,34001
bergen,new jersey,84,new jersey_bergen,2018-05-26,34003
camden,new jersey,71,new jersey_camden,2018-05-26,34007
cumberland,new jersey,56,new jersey_cumberland,2018-05-26,34011
essex,new jersey,67,new jersey_essex,2018-05-26,34013
gloucester,new jersey,64,new jersey_gloucester,2018-05-26,34015
