County,State,AQI,state_county,Date,County Code
hudson,new jersey,65,new jersey_hudson,2018-05-26,34017
hunterdon,new jersey,55,new jersey_hunterdon,2018-05-26,34019
mercer,new jersey,71,new jersey_mercer,2018-05-26,34021
middlesex,new jersey,56,new jersey_middlesex,2018-05-26,34023
monmouth,new jersey,43,new jersey_monmouth,2018-05-26,34025
morris,new jersey,87,new jersey_morris,2018-05-26,34027
ocean,new jersey,71,new jersey_ocean,2018-05-26,34029
passaic,new jersey,80,new jersey_passaic,2018-05-26,34031
union,new jersey,59,new jersey_union,2018-05-26,34039
warren,new jersey,74,new jersey_warren,2018-05-26,34041
bernalillo,new mexico,56,new mexico_bernalillo,2018-05-26,35001
chaves,new mexico,21,new mexico_chaves,2018-05-26,35005
eddy,new mexico,84,new mexico_eddy,2018-05-26,35015
lea,new mexico,97,new mexico_lea,2018-05-26,35025
san_juan,new mexico,64,new mexico_san_juan,2018-05-26,35045
sandoval,new mexico,47,new mexico_sandoval,2018-05-26,35043
santa_fe,new mexico,51,new mexico_santa_fe,2018-05-26,35049
valencia,new mexico,47,new mexico_valencia,2018-05-26,35061
albany,new york,101,new york_albany,2018-05-26,36001
bronx,new york,84,new york_bronx,2018-05-26,36005
chautauqua,new york,101,new york_chautauqua,2018-05-26,36013
dutchess,new york,74,new york_dutchess,2018-05-26,36027
erie,new york,108,new york_erie,2018-05-26,36029
essex,new york,100,new york_essex,2018-05-26,36031
franklin,new york,0,new york_franklin,2018-05-26,36033
herkimer,new york,87,new york_herkimer,2018-05-26,36043
jefferson,new york,84,new york_jefferson,2018-05-26,36045
kings,new york,56,new york_kings,2018-05-26,36047
monroe,new york,108,new york_monroe,2018-05-26,36055
nassau,new york,56,new york_nassau,2018-05-26,36059
new_york,new york,74,new york_new_york,2018-05-26,36061
niagara,new york,97,new york_niagara,2018-05-26,36063
oneida,new york,52,new york_oneida,2018-05-26,36065
onondaga,new york,115,new york_onondaga,2018-05-26,36067
orange,new york,71,new york_orange,2018-05-26,36071
oswego,new york,112,new york_oswego,2018-05-26,36075
putnam,new york,77,new york_putnam,2018-05-26,36079
queens,new york,90,new york_queens,2018-05-26,36081
richmond,new york,58,new york_richmond,2018-05-26,36085
rockland,new york,80,new york_rockland,2018-05-26,36087
saratoga,new york,90,new york_saratoga,2018-05-26,36091
seneca,new york,0,new york_seneca,2018-05-26,36099
st._lawrence,new york,62,new york_st._lawrence,2018-05-26,36089
steuben,new york,77,new york_steuben,2018-05-26,36101
suffolk,new york,115,new york_suffolk,2018-05-26,36103
tompkins,new york,101,new york_tompkins,2018-05-26,36109
wayne,new york,108,new york_wayne,2018-05-26,36117
westchester,new york,84,new york_westchester,2018-05-26,36119
beaufort,north carolina,13,north carolina_beaufort,2018-05-26,37013
brunswick,north carolina,0,north carolina_brunswick,2018-05-26,37019
buncombe,north carolina,23,north carolina_buncombe,2018-05-26,37021
caldwell,north carolina,24,north carolina_caldwell,2018-05-26,37027
carteret,north carolina,19,north carolina_carteret,2018-05-26,37031
catawba,north carolina,19,north carolina_catawba,2018-05-26,37035
cumberland,north carolina,25,north carolina_cumberland,2018-05-26,37051
davidson,north carolina,28,north carolina_davidson,2018-05-26,37057
durham,north carolina,27,north carolina_durham,2018-05-26,37063
edgecombe,north carolina,24,north carolina_edgecombe,2018-05-26,37065
forsyth,north carolina,30,north carolina_forsyth,2018-05-26,37067
granville,north carolina,24,north carolina_granville,2018-05-26,37077
guilford,north carolina,28,north carolina_guilford,2018-05-26,37081
haywood,north carolina,46,north carolina_haywood,2018-05-26,37087
jackson,north carolina,14,north carolina_jackson,2018-05-26,37099
johnston,north carolina,27,north carolina_johnston,2018-05-26,37101
lee,north carolina,23,north carolina_lee,2018-05-26,37105
lenoir,north carolina,20,north carolina_lenoir,2018-05-26,37107
lincoln,north carolina,27,north carolina_lincoln,2018-05-26,37109
macon,north carolina,25,north carolina_macon,2018-05-26,37113
mecklenburg,north carolina,29,north carolina_mecklenburg,2018-05-26,37119
new_hanover,north carolina,19,north carolina_new_hanover,2018-05-26,37129
person,north carolina,22,north carolina_person,2018-05-26,37145
pitt,north carolina,23,north carolina_pitt,2018-05-26,37147
rockingham,north carolina,25,north carolina_rockingham,2018-05-26,37157
rowan,north carolina,24,north carolina_rowan,2018-05-26,37159
union,north carolina,30,north carolina_union,2018-05-26,37179
wake,north carolina,31,north carolina_wake,2018-05-26,37183
burleigh,north dakota,61,north dakota_burleigh,2018-05-26,38015
cass,north dakota,97,north dakota_cass,2018-05-26,38017
ward,north dakota,38,north dakota_ward,2018-05-26,38101
adams,ohio,42,ohio_adams,2018-05-26,39001
allen,ohio,50,ohio_allen,2018-05-26,39003
ashtabula,ohio,97,ohio_ashtabula,2018-05-26,39007
athens,ohio,15,ohio_athens,2018-05-26,39009
belmont,ohio,47,ohio_belmont,2018-05-26,39013
butler,ohio,64,ohio_butler,2018-05-26,39017
clark,ohio,64,ohio_clark,2018-05-26,39023
clermont,ohio,46,ohio_clermont,2018-05-26,39025
clinton,ohio,49,ohio_clinton,2018-05-26,39027
columbiana,ohio,23,ohio_columbiana,2018-05-26,39029
cuyahoga,ohio,83,ohio_cuyahoga,2018-05-26,39035
delaware,ohio,50,ohio_delaware,2018-05-26,39041
fayette,ohio,49,ohio_fayette,2018-05-26,39047
franklin,ohio,54,ohio_franklin,2018-05-26,39049
gallia,ohio,13,ohio_gallia,2018-05-26,39053
geauga,ohio,77,ohio_geauga,2018-05-26,39055
greene,ohio,50,ohio_greene,2018-05-26,39057
hamilton,ohio,66,ohio_hamilton,2018-05-26,39061
jefferson,ohio,58,ohio_jefferson,2018-05-26,39081
knox,ohio,64,ohio_knox,2018-05-26,39083
lake,ohio,90,ohio_lake,2018-05-26,39085
lawrence,ohio,38,ohio_lawrence,2018-05-26,39087
licking,ohio,51,ohio_licking,2018-05-26,39089
lorain,ohio,59,ohio_lorain,2018-05-26,39093
lucas,ohio,77,ohio_lucas,2018-05-26,39095
madison,ohio,54,ohio_madison,2018-05-26,39097
mahoning,ohio,59,ohio_mahoning,2018-05-26,39099
medina,ohio,48,ohio_medina,2018-05-26,39103
miami,ohio,47,ohio_miami,2018-05-26,39109
montgomery,ohio,54,ohio_montgomery,2018-05-26,39113
portage,ohio,53,ohio_portage,2018-05-26,39133
scioto,ohio,39,ohio_scioto,2018-05-26,39145
stark,ohio,57,ohio_stark,2018-05-26,39151
summit,ohio,54,ohio_summit,2018-05-26,39153
trumbull,ohio,64,ohio_trumbull,2018-05-26,39155
warren,ohio,58,ohio_warren,2018-05-26,39165
washington,ohio,49,ohio_washington,2018-05-26,39167
wood,ohio,50,ohio_wood,2018-05-26,39173
adair,oklahoma,58,oklahoma_adair,2018-05-26,40001
bryan,oklahoma,48,oklahoma_bryan,2018-05-26,40013
canadian,oklahoma,93,oklahoma_canadian,2018-05-26,40017
carter,oklahoma,28,oklahoma_carter,2018-05-26,40019
cleveland,oklahoma,61,oklahoma_cleveland,2018-05-26,40027
comanche,oklahoma,64,oklahoma_comanche,2018-05-26,40031
creek,oklahoma,51,oklahoma_creek,2018-05-26,40037
garfield,oklahoma,0,oklahoma_garfield,2018-05-26,40047
kay,oklahoma,48,oklahoma_kay,2018-05-26,40071
mayes,oklahoma,58,oklahoma_mayes,2018-05-26,40097
muskogee,oklahoma,19,oklahoma_muskogee,2018-05-26,40101
oklahoma,oklahoma,71,oklahoma_oklahoma,2018-05-26,40109
osage,oklahoma,101,oklahoma_osage,2018-05-26,40113
ottawa,oklahoma,49,oklahoma_ottawa,2018-05-26,40115
pittsburg,oklahoma,48,oklahoma_pittsburg,2018-05-26,40121
sequoyah,oklahoma,48,oklahoma_sequoyah,2018-05-26,40135
tulsa,oklahoma,80,oklahoma_tulsa,2018-05-26,40143
benton,oregon,10,oregon_benton,2018-05-26,41003
clackamas,oregon,36,oregon_clackamas,2018-05-26,41005
deschutes,oregon,13,oregon_deschutes,2018-05-26,41017
douglas,oregon,15,oregon_douglas,2018-05-26,41019
jackson,oregon,34,oregon_jackson,2018-05-26,41029
josephine,oregon,15,oregon_josephine,2018-05-26,41033
klamath,oregon,8,oregon_klamath,2018-05-26,41035
lane,oregon,34,oregon_lane,2018-05-26,41039
linn,oregon,15,oregon_linn,2018-05-26,41043
marion,oregon,35,oregon_marion,2018-05-26,41047
multnomah,oregon,33,oregon_multnomah,2018-05-26,41051
umatilla,oregon,37,oregon_umatilla,2018-05-26,41059
washington,oregon,27,oregon_washington,2018-05-26,41067
adams,pennsylvania,64,pennsylvania_adams,2018-05-26,42001
allegheny,pennsylvania,105,pennsylvania_allegheny,2018-05-26,42003
armstrong,pennsylvania,90,pennsylvania_armstrong,2018-05-26,42005
beaver,pennsylvania,87,pennsylvania_beaver,2018-05-26,42007
berks,pennsylvania,67,pennsylvania_berks,2018-05-26,42011
blair,pennsylvania,80,pennsylvania_blair,2018-05-26,42013
bradford,pennsylvania,97,pennsylvania_bradford,2018-05-26,42015
bucks,pennsylvania,93,pennsylvania_bucks,2018-05-26,42017
cambria,pennsylvania,54,pennsylvania_cambria,2018-05-26,42021
centre,pennsylvania,80,pennsylvania_centre,2018-05-26,42027
chester,pennsylvania,53,pennsylvania_chester,2018-05-26,42029
clearfield,pennsylvania,101,pennsylvania_clearfield,2018-05-26,42033
cumberland,pennsylvania,54,pennsylvania_cumberland,2018-05-26,42041
dauphin,pennsylvania,64,pennsylvania_dauphin,2018-05-26,42043
delaware,pennsylvania,63,pennsylvania_delaware,2018-05-26,42045
elk,pennsylvania,80,pennsylvania_elk,2018-05-26,42047
erie,pennsylvania,51,pennsylvania_erie,2018-05-26,42049
fayette,pennsylvania,54,pennsylvania_fayette,2018-05-26,42051
franklin,pennsylvania,46,pennsylvania_franklin,2018-05-26,42055
greene,pennsylvania,48,pennsylvania_greene,2018-05-26,42059
indiana,pennsylvania,97,pennsylvania_indiana,2018-05-26,42063
lackawanna,pennsylvania,84,pennsylvania_lackawanna,2018-05-26,42069
lancaster,pennsylvania,74,pennsylvania_lancaster,2018-05-26,42071
lawrence,pennsylvania,67,pennsylvania_lawrence,2018-05-26,42073
lebanon,pennsylvania,71,pennsylvania_lebanon,2018-05-26,42075
lehigh,pennsylvania,80,pennsylvania_lehigh,2018-05-26,42077
luzerne,pennsylvania,93,pennsylvania_luzerne,2018-05-26,42079
lycoming,pennsylvania,80,pennsylvania_lycoming,2018-05-26,42081
mercer,pennsylvania,74,pennsylvania_mercer,2018-05-26,42085
monroe,pennsylvania,97,pennsylvania_monroe,2018-05-26,42089
montgomery,pennsylvania,71,pennsylvania_montgomery,2018-05-26,42091
northampton,pennsylvania,80,pennsylvania_northampton,2018-05-26,42095
philadelphia,pennsylvania,90,pennsylvania_philadelphia,2018-05-26,42101
somerset,pennsylvania,77,pennsylvania_somerset,2018-05-26,42111
tioga,pennsylvania,97,pennsylvania_tioga,2018-05-26,42117
warren,pennsylvania,26,pennsylvania_warren,2018-05-26,42123
washington,pennsylvania,64,pennsylvania_washington,2018-05-26,42125
westmoreland,pennsylvania,80,pennsylvania_westmoreland,2018-05-26,42129
york,pennsylvania,54,pennsylvania_york,2018-05-26,42133
kent,rhode island,122,rhode island_kent,2018-05-26,44003
providence,rhode island,133,rhode island_providence,2018-05-26,44007
washington,rhode island,101,rhode island_washington,2018-05-26,44009
aiken,south carolina,21,south carolina_aiken,2018-05-26,45003
anderson,south carolina,24,south carolina_anderson,2018-05-26,45007
berkeley,south carolina,19,south carolina_berkeley,2018-05-26,45015
charleston,south carolina,26,south carolina_charleston,2018-05-26,45019
chesterfield,south carolina,28,south carolina_chesterfield,2018-05-26,45025
colleton,south carolina,21,south carolina_colleton,2018-05-26,45029
darlington,south carolina,23,south carolina_darlington,2018-05-26,45031
florence,south carolina,24,south carolina_florence,2018-05-26,45041
georgetown,south carolina,15,south carolina_georgetown,2018-05-26,45043
greenville,south carolina,26,south carolina_greenville,2018-05-26,45045
horry,south carolina,21,south carolina_horry,2018-05-26,45051
lexington,south carolina,27,south carolina_lexington,2018-05-26,45063
oconee,south carolina,24,south carolina_oconee,2018-05-26,45073
pickens,south carolina,29,south carolina_pickens,2018-05-26,45077
richland,south carolina,24,south carolina_richland,2018-05-26,45079
spartanburg,south carolina,29,south carolina_spartanburg,2018-05-26,45083
york,south carolina,23,south carolina_york,2018-05-26,45091
brown,south dakota,24,south dakota_brown,2018-05-26,46013
minnehaha,south dakota,77,south dakota_minnehaha,2018-05-26,46099
pennington,south dakota,26,south dakota_pennington,2018-05-26,46103
anderson,tennessee,36,tennessee_anderson,2018-05-26,47001
blount,tennessee,35,tennessee_blount,2018-05-26,47009
claiborne,tennessee,39,tennessee_claiborne,2018-05-26,47025
davidson,tennessee,36,tennessee_davidson,2018-05-26,47037
dyer,tennessee,32,tennessee_dyer,2018-05-26,47045
hamilton,tennessee,40,tennessee_hamilton,2018-05-26,47065
jefferson,tennessee,32,tennessee_jefferson,2018-05-26,47089
knox,tennessee,35,tennessee_knox,2018-05-26,47093
lawrence,tennessee,30,tennessee_lawrence,2018-05-26,47099
loudon,tennessee,38,tennessee_loudon,2018-05-26,47105
madison,tennessee,23,tennessee_madison,2018-05-26,47113
mcminn,tennessee,24,tennessee_mcminn,2018-05-26,47107
montgomery,tennessee,27,tennessee_montgomery,2018-05-26,47125
putnam,tennessee,28,tennessee_putnam,2018-05-26,47141
roane,tennessee,24,tennessee_roane,2018-05-26,47145
sevier,tennessee,37,tennessee_sevier,2018-05-26,47155
shelby,tennessee,49,tennessee_shelby,2018-05-26,47157
sullivan,tennessee,39,tennessee_sullivan,2018-05-26,47163
sumner,tennessee,38,tennessee_sumner,2018-05-26,47165
williamson,tennessee,37,tennessee_williamson,2018-05-26,47187
wilson,tennessee,37,tennessee_wilson,2018-05-26,47189
bell,texas,51,texas_bell,2018-05-26,48027
bexar,texas,61,texas_bexar,2018-05-26,48029
bowie,texas,36,texas_bowie,2018-05-26,48037
brazoria,texas,39,texas_brazoria,2018-05-26,48039
cameron,texas,31,texas_cameron,2018-05-26,48061
collin,texas,136,texas_collin,2018-05-26,48085
dallas,texas,143,texas_dallas,2018-05-26,48113
denton,texas,133,texas_denton,2018-05-26,48121
ector,texas,29,texas_ector,2018-05-26,48135
el_paso,texas,69,texas_el_paso,2018-05-26,48141
ellis,texas,77,texas_ellis,2018-05-26,48139
galveston,texas,17,texas_galveston,2018-05-26,48167
gregg,texas,44,texas_gregg,2018-05-26,48183
harris,texas,54,texas_harris,2018-05-26,48201
harrison,texas,45,texas_harrison,2018-05-26,48203
hidalgo,texas,37,texas_hidalgo,2018-05-26,48215
hood,texas,64,texas_hood,2018-05-26,48221
howard,texas,61,texas_howard,2018-05-26,48227
hunt,texas,58,texas_hunt,2018-05-26,48231
jefferson,texas,36,texas_jefferson,2018-05-26,48245
johnson,texas,90,texas_johnson,2018-05-26,48251
kaufman,texas,61,texas_kaufman,2018-05-26,48257
lubbock,texas,33,texas_lubbock,2018-05-26,48303
mclennan,texas,64,texas_mclennan,2018-05-26,48309
montgomery,texas,48,texas_montgomery,2018-05-26,48339
navarro,texas,64,texas_navarro,2018-05-26,48349
nueces,texas,24,texas_nueces,2018-05-26,48355
orange,texas,39,texas_orange,2018-05-26,48361
parker,texas,58,texas_parker,2018-05-26,48367
polk,texas,37,texas_polk,2018-05-26,48373
potter,texas,52,texas_potter,2018-05-26,48375
randall,texas,80,texas_randall,2018-05-26,48381
rockwall,texas,74,texas_rockwall,2018-05-26,48397
rusk,texas,6,texas_rusk,2018-05-26,48401
smith,texas,49,texas_smith,2018-05-26,48423
tarrant,texas,159,texas_tarrant,2018-05-26,48439
travis,texas,50,texas_travis,2018-05-26,48453
victoria,texas,32,texas_victoria,2018-05-26,48469
webb,texas,39,texas_webb,2018-05-26,48479
box_elder,utah,80,utah_box_elder,2018-05-26,49003
cache,utah,77,utah_cache,2018-05-26,49005
davis,utah,74,utah_davis,2018-05-26,49011
salt_lake,utah,80,utah_salt_lake,2018-05-26,49035
utah,utah,61,utah_utah,2018-05-26,49049
washington,utah,74,utah_washington,2018-05-26,49053
weber,utah,87,utah_weber,2018-05-26,49057
bennington,vermont,100,vermont_bennington,2018-05-26,50003
chittenden,vermont,51,vermont_chittenden,2018-05-26,50007
rutland,vermont,77,vermont_rutland,2018-05-26,50021
albemarle,virginia,27,virginia_albemarle,2018-05-26,51003
alexandria_city,virginia,6,virginia_alexandria_city,2018-05-26,51510
arlington,virginia,40,virginia_arlington,2018-05-26,51013
bristol_city,virginia,25,virginia_bristol_city,2018-05-26,51520
carroll,virginia,9,virginia_carroll,2018-05-26,51035
chesterfield,virginia,28,virginia_chesterfield,2018-05-26,51041
fairfax,virginia,32,virginia_fairfax,2018-05-26,51059
fauquier,virginia,25,virginia_fauquier,2018-05-26,51061
frederick,virginia,35,virginia_frederick,2018-05-26,51069
hampton_city,virginia,26,virginia_hampton_city,2018-05-26,51650
hanover,virginia,29,virginia_hanover,2018-05-26,51085
henrico,virginia,30,virginia_henrico,2018-05-26,51087
loudoun,virginia,40,virginia_loudoun,2018-05-26,51107
lynchburg_city,virginia,22,virginia_lynchburg_city,2018-05-26,51680
norfolk_city,virginia,24,virginia_norfolk_city,2018-05-26,51710
prince_william,virginia,34,virginia_prince_william,2018-05-26,51153
richmond_city,virginia,30,virginia_richmond_city,2018-05-26,51760
roanoke,virginia,27,virginia_roanoke,2018-05-26,51161
rockbridge,virginia,24,virginia_rockbridge,2018-05-26,51163
rockingham,virginia,32,virginia_rockingham,2018-05-26,51165
stafford,virginia,29,virginia_stafford,2018-05-26,51179
suffolk_city,virginia,22,virginia_suffolk_city,2018-05-26,51800
virginia_beach_city,virginia,25,virginia_virginia_beach_city,2018-05-26,51810
wythe,virginia,31,virginia_wythe,2018-05-26,51197
asotin,washington,18,washington_asotin,2018-05-26,53003
benton,washington,41,washington_benton,2018-05-26,53005
chelan,washington,17,washington_chelan,2018-05-26,53007
clallam,washington,34,washington_clallam,2018-05-26,53009
clark,washington,33,washington_clark,2018-05-26,53011
cowlitz,washington,9,washington_cowlitz,2018-05-26,53015
franklin,washington,17,washington_franklin,2018-05-26,53021
grant,washington,17,washington_grant,2018-05-26,53025
grays_harbor,washington,12,washington_grays_harbor,2018-05-26,53027
jefferson,washington,17,washington_jefferson,2018-05-26,53031
king,washington,38,washington_king,2018-05-26,53033
kitsap,washington,12,washington_kitsap,2018-05-26,53035
kittitas,washington,21,washington_kittitas,2018-05-26,53037
lewis,washington,13,washington_lewis,2018-05-26,53041
mason,washington,13,washington_mason,2018-05-26,53045
pierce,washington,32,washington_pierce,2018-05-26,53053
skagit,washington,38,washington_skagit,2018-05-26,53057
snohomish,washington,22,washington_snohomish,2018-05-26,53061
spokane,washington,44,washington_spokane,2018-05-26,53063
stevens,washington,17,washington_stevens,2018-05-26,53065
thurston,washington,36,washington_thurston,2018-05-26,53067
walla_walla,washington,14,washington_walla_walla,2018-05-26,53071
whatcom,washington,47,washington_whatcom,2018-05-26,53073
yakima,washington,25,washington_yakima,2018-05-26,53077
berkeley,west virginia,42,west virginia_berkeley,2018-05-26,54003
brooke,west virginia,58,west virginia_brooke,2018-05-26,54009
cabell,west virginia,41,west virginia_cabell,2018-05-26,54011
greenbrier,west virginia,31,west virginia_greenbrier,2018-05-26,54025
hancock,west virginia,56,west virginia_hancock,2018-05-26,54029
harrison,west virginia,40,west virginia_harrison,2018-05-26,54033
kanawha,west virginia,45,west virginia_kanawha,2018-05-26,54039
marion,west virginia,45,west virginia_marion,2018-05-26,54049
marshall,west virginia,61,west virginia_marshall,2018-05-26,54051
mineral,west virginia,4,west virginia_mineral,2018-05-26,54057
monongalia,west virginia,48,west virginia_monongalia,2018-05-26,54061
ohio,west virginia,49,west virginia_ohio,2018-05-26,54069
wood,west virginia,56,west virginia_wood,2018-05-26,54107
brown,wisconsin,93,wisconsin_brown,2018-05-26,55009
columbia,wisconsin,84,wisconsin_columbia,2018-05-26,55021
dane,wisconsin,80,wisconsin_dane,2018-05-26,55025
dodge,wisconsin,101,wisconsin_dodge,2018-05-26,55027
eau_claire,wisconsin,87,wisconsin_eau_claire,2018-05-26,55035
fond_du_lac,wisconsin,93,wisconsin_fond_du_lac,2018-05-26,55039
grant,wisconsin,13,wisconsin_grant,2018-05-26,55043
jefferson,wisconsin,87,wisconsin_jefferson,2018-05-26,55055
kenosha,wisconsin,112,wisconsin_kenosha,2018-05-26,55059
la_crosse,wisconsin,50,wisconsin_la_crosse,2018-05-26,55063
manitowoc,wisconsin,105,wisconsin_manitowoc,2018-05-26,55071
marathon,wisconsin,71,wisconsin_marathon,2018-05-26,55073
milwaukee,wisconsin,97,wisconsin_milwaukee,2018-05-26,55079
outagamie,wisconsin,87,wisconsin_outagamie,2018-05-26,55087
ozaukee,wisconsin,90,wisconsin_ozaukee,2018-05-26,55089
racine,wisconsin,100,wisconsin_racine,2018-05-26,55101
rock,wisconsin,87,wisconsin_rock,2018-05-26,55105
sauk,wisconsin,80,wisconsin_sauk,2018-05-26,55111
sheboygan,wisconsin,115,wisconsin_sheboygan,2018-05-26,55117
walworth,wisconsin,77,wisconsin_walworth,2018-05-26,55127
waukesha,wisconsin,84,wisconsin_waukesha,2018-05-26,55133
fremont,wyoming,49,wyoming_fremont,2018-05-26,56013
laramie,wyoming,67,wyoming_laramie,2018-05-26,56021
natrona,wyoming,48,wyoming_natrona,2018-05-26,56025
sheridan,wyoming,49,wyoming_sheridan,2018-05-26,56033
sweetwater,wyoming,61,wyoming_sweetwater,2018-05-26,56037
